Rendering est
  INFO     Rendering texts in 10621 tiles...                                                                                                                                                                
         23726113 function calls (23592317 primitive calls) in 70.825 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 containers.py:46(__rich_measure__)
        1    0.000    0.000    0.000    0.000 color.py:302(Color)
       10    0.000    0.000    0.000    0.000 segment.py:312(adjust_line_length)
        1    0.000    0.000    0.000    0.000 configparser.py:522(LegacyInterpolation)
       79    0.000    0.000    0.000    0.000 token.py:15(split)
       69    0.000    0.000    0.000    0.000 _make.py:1662(_generate_unique_filename)
        8    0.000    0.000    0.000    0.000 __init__.py:872(__init__)
        1    0.000    0.000    0.000    0.000 base_subprocess.py:1(<module>)
       66    0.000    0.000    0.000    0.000 enum.py:423(__getattr__)
      896    0.000    0.000    0.000    0.000 inspect.py:2680(name)
        1    0.000    0.000    0.000    0.000 containers.py:126(RepeatedScalarFieldContainer)
        1    0.000    0.000    0.000    0.000 live.py:51(__init__)
      241    0.000    0.000    0.000    0.000 typing.py:380(__repr__)
        1    0.000    0.000    0.000    0.000 providers.py:1(<module>)
        1    0.000    0.000    0.000    0.000 traceback.py:180(Traceback)
        1    0.000    0.000    0.000    0.000 serialization_context.py:1(<module>)
        1    0.000    0.000    0.000    0.000 columns.py:16(Columns)
        1    0.000    0.000    0.000    0.000 _channel.py:241(Channel)
        4    0.000    0.000    0.000    0.000 _pyio.py:1770(close)
      316    0.000    0.000    0.000    0.000 overrides.py:141(array_function_dispatch)
        1    0.000    0.000    0.000    0.000 models.py:14(CharsetMatch)
        4    0.000    0.000    0.000    0.000 console.py:986(size)
        1    0.000    0.000    0.000    0.000 pretty.py:508(_Line)
        1    0.000    0.000    0.000    0.000 containers.py:49(<listcomp>)
       20    0.000    0.000    0.000    0.000 {method 'split' of 're.Pattern' objects}
        1    0.000    0.000    0.000    0.000 utils.py:181(part_dir)
        1    0.000    0.000    0.000    0.000 _psosx.py:356(Process)
        1    0.000    0.000    0.000    0.000 _exceptions.py:1(<module>)
      386    0.000    0.000    0.000    0.000 sre_compile.py:477(_get_iscased)
       41    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:62(<genexpr>)
        1    0.000    0.000    0.000    0.000 schema.py:737(Forbidden)
        2    0.000    0.000    0.000    0.000 threading.py:589(wait)
        1    0.000    0.000    0.000    0.000 box.py:16(Box)
        1    0.000    0.000    0.000    0.000 parameter.py:12(RayParams)
        2    0.000    0.000    0.000    0.000 _field_common.py:17(set_fields)
       28    0.000    0.000    0.000    0.000 ipaddress.py:1606(_ip_int_from_string)
        1    0.000    0.000    0.000    0.000 IptcImagePlugin.py:1(<module>)
        6    0.000    0.000    0.000    0.000 text.py:674(<genexpr>)
        8    0.000    0.000    0.000    0.000 core.py:8098(__init__)
        1    0.000    0.000    0.000    0.000 command_runner.py:6(CommandRunnerInterface)
        1    0.000    0.000    0.000    0.000 terminal_theme.py:1(<module>)
       14    0.000    0.000    0.000    0.000 gcs_utils.py:141(_auto_reconnect)
        1    0.000    0.000    0.000    0.000 event_system.py:41(_EventSystem)
        1    0.000    0.000    0.000    0.000 _pdeque.py:1(<module>)
        1    0.000    0.000    0.000    0.000 argparse.py:1939(consume_optional)
        1    0.000    0.000    0.000    0.000 _simple_stubs.py:72(ChannelCache)
       27    0.000    0.000    0.000    0.000 typing.py:964(__mro_entries__)
       77    0.000    0.000    0.000    0.000 dataclasses.py:388(<listcomp>)
       20    0.000    0.000    0.000    0.000 ipaddress.py:1173(_ip_int_from_string)
       18    0.000    0.000    0.000    0.000 core.py:992(__init__)
      384    0.000    0.000    0.000    0.000 skin.py:955(<lambda>)
        1    0.000    0.000    0.000    0.000 bdb.py:17(Bdb)
      399    0.000    0.000    0.000    0.000 __init__.py:402(<genexpr>)
        1    0.000    0.000    0.000    0.000 _call.py:366(_StreamRequestMixin)
       68    0.000    0.000    0.000    0.000 status_codes.py:114(doc)
        1    0.000    0.000    0.000    0.000 input_node.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:231(StatusCode)
      148    0.000    0.000    0.000    0.000 inspect.py:632(_is_wrapper)
        1    0.000    0.000    0.000    0.000 _interceptor.py:447(_InterceptedStreamResponseMixin)
        1    0.000    0.000    0.000    0.000 parquet_base_datasource.py:1(<module>)
        1    0.000    0.000    0.000    0.000 region.py:1(<module>)
        2    0.000    0.000    0.000    0.000 _make.py:1740(_add_hash)
        1    0.000    0.000    0.000    0.000 ssl.py:224(_TLSMessageType)
        1    0.000    0.000    0.000    0.000 __init__.py:97(SymbolFilter)
        5    0.000    0.000    0.000    0.000 _version.py:20(get_versions)
        1    0.000    0.000    0.000    0.000 torch_datasource.py:1(<module>)
        1    0.000    0.000    0.000    0.000 chebyshev.py:1(<module>)
        1    0.000    0.000    0.000    0.000 shuffle_and_partition.py:12(_ShufflePartitionOp)
       66    0.000    0.000    0.000    0.000 enum.py:82(__init__)
        1    0.000    0.000    0.000    0.000 console.py:973(options)
        1    0.000    0.000    0.000    0.000 exceptions.py:85(BadParameter)
        1    0.000    0.000    0.000    0.000 _polybase.py:1(<module>)
        1    0.000    0.000    0.000    0.000 config.py:5(Config)
        2    0.000    0.000    0.000    0.000 builder.py:70(BuildTopDescriptorsAndMessages)
      286    0.000    0.000    0.000    0.000 symbol_database.py:87(RegisterMessageDescriptor)
        1    0.000    0.000    0.000    0.000 core.py:2706(MaskedArray)
        2    0.000    0.000    0.000    0.000 threading.py:288(wait)
       44    0.000    0.000    0.000    0.000 segment.py:331(<genexpr>)
        1    0.000    0.000    0.000    0.000 workflow_storage.py:229(WorkflowStorage)
        1    0.000    0.000    0.000    0.000 regexopt.py:1(<module>)
        3    0.000    0.000    0.000    0.000 ansi.py:26(__init__)
       95    0.000    0.000    0.000    0.000 _make.py:1049(<genexpr>)
        1    0.000    0.000    0.000    0.000 tasks.py:1(<module>)
       88    0.000    0.000    0.000    0.000 six.py:146(__init__)
        1    0.000    0.000    0.000    0.000 types.py:912(Tuple)
        1    0.000    0.000    0.000    0.000 stringprep.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _iotools.py:1(<module>)
        8    0.000    0.000    0.000    0.000 core.py:8103(getdoc)
        1    0.000    0.000    0.000    0.000 core.py:135(ParameterSource)
        1    0.000    0.000    0.000    0.000 usage_lib.py:244(TagKey)
        1    0.000    0.000    0.000    0.000 spinner.py:13(Spinner)
        3    0.000    0.000    0.000    0.000 style.py:378(normalize)
        1    0.000    0.000    0.000    0.000 console.py:867(__exit__)
      230    0.000    0.000    0.000    0.000 dataclasses.py:438(_field_assign)
        1    0.000    0.000    0.000    0.000 streams.py:1(<module>)
       38    0.000    0.000    0.000    0.000 dataclasses.py:549(<dictcomp>)
        1    0.000    0.000    0.000    0.000 configparser.py:1311(ConverterMapping)
        1    0.000    0.000    0.000    0.000 connection.py:119(_has_ipv6)
        1    0.000    0.000    0.000    0.000 progress.py:173(_Reader)
    36/23    0.000    0.000    0.000    0.000 annotations.py:87(Deprecated)
        1    0.000    0.000    0.000    0.000 console.py:824(_exit_buffer)
        1    0.000    0.000    0.000    0.000 __future__.py:1(<module>)
       51    0.000    0.000    0.000    0.000 tracing_helper.py:94(_sort_params_list)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:94(_add_aliases)
       88    0.000    0.000    0.000    0.000 {method 'setimage' of 'ImagingEncoder' objects}
        1    0.000    0.000    0.000    0.000 _pset.py:1(<module>)
        1    0.000    0.000    0.000    0.000 enums.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pprint.py:1(<module>)
        1    0.000    0.000    0.000    0.000 configparser.py:448(ExtendedInterpolation)
        1    0.000    0.000    0.000    0.000 laguerre.py:1(<module>)
        6    0.000    0.000    0.000    0.000 numeric.py:2514(extend_all)
       10    0.000    0.000    0.000    0.000 builder.py:79(BuildMessage)
        1    0.000    0.000    0.000    0.000 gitwildmatch.py:1(<module>)
      239    0.000    0.000    0.000    0.000 socket.py:88(<lambda>)
        1    0.000    0.000    0.000    0.000 _call.py:160(Call)
      238    0.000    0.000    0.000    0.000 socket.py:83(<lambda>)
      240    0.000    0.000    0.000    0.000 socket.py:93(<lambda>)
      237    0.000    0.000    0.000    0.000 socket.py:78(<lambda>)
        2    0.000    0.000    0.000    0.000 mixins.py:1(<module>)
        1    0.000    0.000    0.000    0.000 panel.py:17(Panel)
    28/20    0.000    0.000    0.000    0.000 typing.py:1093(<listcomp>)
        7    0.000    0.000    0.000    0.000 pathlib.py:845(joinpath)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(any)
        4    0.000    0.000    0.000    0.000 _checked_types.py:101(_store_types)
        1    0.000    0.000    0.000    0.000 console.py:1984(_check_buffer)
        1    0.000    0.000    0.000    0.000 hermite.py:1(<module>)
        1    0.000    0.000    0.000    0.000 contextlib.py:76(inner)
        1    0.000    0.000    0.000    0.000 argparse.py:2146(_match_argument)
       69    0.000    0.000    0.000    0.000 signal.py:9(<lambda>)
        6    0.000    0.000    0.000    0.000 abc.py:21(_register)
        1    0.000    0.000    0.000    0.000 _asarray.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _interceptor.py:474(_InterceptedStreamRequestMixin)
        1    0.000    0.000    0.000    0.000 _checked_types.py:432(__new__)
        1    0.000    0.000    0.000    0.000 core.py:6439(__new__)
        1    0.000    0.000    0.000    0.000 theme.py:8(Theme)
        1    0.000    0.000    0.000    0.000 serialization.py:52(Upload)
       25    0.000    0.000    0.000    0.000 _psosx.py:336(wrap_exceptions)
        1    0.000    0.000    0.000    0.000 logging.py:63(__init__)
        1    0.000    0.000    0.000    0.000 strtree.py:28(STRtree)
        1    0.000    0.000    0.000    0.000 arraypad.py:1(<module>)
    38/19    0.000    0.000    0.000    0.000 _checked_types.py:135(_all_dicts)
        1    0.000    0.000    0.000    0.000 thread.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _base_channel.py:184(Channel)
      709    0.000    0.000    0.000    0.000 inspect.py:2692(kind)
        1    0.000    0.000    0.000    0.000 ImageFile.py:1(<module>)
       60    0.000    0.000    0.000    0.000 _make.py:565(<genexpr>)
        1    0.000    0.000    0.000    0.000 cluster_dump.py:39(GetParameters)
        1    0.000    0.000    0.000    0.000 _structures.py:1(<module>)
        4    0.000    0.000    0.000    0.000 style.py:496(parse)
        4    0.000    0.000    0.000    0.000 _pmap.py:403(_turbo_mapping)
        1    0.000    0.000    0.000    0.000 remote_function.py:34(RemoteFunction)
        1    0.000    0.000    0.000    0.000 random_access_dataset.py:22(RandomAccessDataset)
       34    0.000    0.000    0.000    0.000 segment.py:81(cell_length)
        1    0.000    0.000    0.000    0.000 control.py:54(Control)
       47    0.000    0.000    0.000    0.000 ipaddress.py:533(_split_addr_prefix)
        1    0.000    0.000    0.000    0.000 fromnumeric.py:2268(any)
        1    0.000    0.000    0.000    0.000 core.py:2396(Option)
        4    0.000    0.000    0.000    0.000 {built-in method posix.close}
        1    0.000    0.000    0.000    0.000 tempfile.py:1(<module>)
       10    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.lock' objects}
       66    0.000    0.000    0.000    0.000 enum.py:198(<dictcomp>)
       19    0.000    0.000    0.000    0.000 {built-in method posix.urandom}
       91    0.000    0.000    0.000    0.000 {method 'splitlines' of 'str' objects}
      267    0.000    0.000    0.000    0.000 {function FreezableDefaultDict.__missing__ at 0x10f450040}
       46    0.000    0.000    0.000    0.000 six.py:108(__init__)
        1    0.000    0.000    0.000    0.000 emitter.py:31(Emitter)
        1    0.000    0.000    0.000    0.000 shuffle.py:9(ShuffleOp)
        1    0.000    0.000    0.000    0.000 hermite_e.py:1(<module>)
      516    0.000    0.000    0.000    0.000 ImagePalette.py:47(palette)
        1    0.000    0.000    0.000    0.000 fromnumeric.py:69(_wrapreduction)
        1    0.000    0.000    0.000    0.000 representer.py:1(<module>)
      145    0.000    0.000    0.000    0.000 tracing_helper.py:109(<genexpr>)
       41    0.000    0.000    0.000    0.000 Image.py:3255(register_open)
      260    0.000    0.000    0.000    0.000 dataclasses.py:654(_is_initvar)
        1    0.000    0.000    0.000    0.000 exceptions.py:196(NoSuchOption)
        1    0.000    0.000    0.000    0.000 plugin.py:115(RuntimeEnvPluginManager)
     1086    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
        1    0.000    0.000    0.000    0.000 SgiImagePlugin.py:1(<module>)
        1    0.000    0.000    0.000    0.000 progress.py:924(Task)
        1    0.000    0.000    0.000    0.000 event_system.py:7(CreateClusterEvent)
        3    0.000    0.000    0.000    0.000 <attrs generated init jsonschema._types.TypeChecker>:1(__init__)
       62    0.000    0.000    0.000    0.000 __init__.py:25(__new__)
       19    0.000    0.000    0.000    0.000 text.py:131(__init__)
       19    0.000    0.000    0.000    0.000 box.py:33(__init__)
      238    0.000    0.000    0.000    0.000 abc.py:7(abstractmethod)
      309    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.add_docstring}
        1    0.000    0.000    0.000    0.000 packaging.py:43(Protocol)
       66    0.000    0.000    0.000    0.000 Image.py:3304(register_extension)
        1    0.000    0.000    0.000    0.000 containers.py:366(ScalarMap)
       40    0.000    0.000    0.000    0.000 _make.py:418(_has_own_attribute)
        1    0.000    0.000    0.000    0.000 _adapters.py:8(Message)
        1    0.000    0.000    0.000    0.000 _globals.py:1(<module>)
        2    0.000    0.000    0.000    0.000 _pyio.py:1336(close)
        1    0.000    0.000    0.000    0.000 terminal_theme.py:9(TerminalTheme)
        1    0.000    0.000    0.000    0.000 align.py:23(Align)
       20    0.000    0.000    0.000    0.000 decorators.py:16(__call__)
       36    0.000    0.000    0.000    0.000 getlimits.py:39(<lambda>)
        1    0.000    0.000    0.000    0.000 console.py:1480(_collect_renderables)
        1    0.000    0.000    0.000    0.000 dag_node.py:21(DAGNode)
        1    0.000    0.000    0.000    0.000 __init__.py:211(ChannelConnectivity)
       40    0.000    0.000    0.000    0.000 _make.py:2882(__init__)
        1    0.000    0.000    0.000    0.000 partitioning.py:408(PathPartitionFilter)
        1    0.000    0.000    0.000    0.000 progress.py:89(__enter__)
        1    0.000    0.000    0.000    0.000 set_operations.py:1(<module>)
        1    0.000    0.000    0.000    0.000 transports.py:1(<module>)
        1    0.000    0.000    0.000    0.000 queues.py:1(<module>)
      114    0.000    0.000    0.000    0.000 TiffTags.py:26(__new__)
        7    0.000    0.000    0.000    0.000 _pmap.py:438(pmap)
        3    0.000    0.000    0.000    0.000 _types.py:17(_typed_pmap_converter)
        1    0.000    0.000    0.000    0.000 block_builder.py:1(<module>)
        1    0.000    0.000    0.000    0.000 measurement.py:1(<module>)
        1    0.000    0.000    0.000    0.000 cookies.py:165(<dictcomp>)
        1    0.000    0.000    0.000    0.000 progress.py:745(render)
        4    0.000    0.000    0.000    0.000 table.py:251(grid)
        1    0.000    0.000    0.000    0.000 node.py:41(Node)
     1101    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
        1    0.000    0.000    0.000    0.000 util.py:81(LoadMetricsSummary)
        1    0.000    0.000    0.000    0.000 pretty.py:423(Node)
      117    0.000    0.000    0.000    0.000 __init__.py:786(__init__)
        8    0.000    0.000    0.000    0.000 os.py:771(getenv)
       12    0.000    0.000    0.000    0.000 console.py:935(is_terminal)
        1    0.000    0.000    0.000    0.000 rpdb.py:36(_LF2CRLF_FileWrapper)
        1    0.000    0.000    0.000    0.000 event_summarizer.py:1(<module>)
        1    0.000    0.000    0.000    0.000 client_builder.py:28(ClientContext)
        1    0.000    0.000    0.000    0.000 _shims.py:1(<module>)
       22    0.000    0.000    0.000    0.000 color.py:431(parse)
        1    0.000    0.000    0.000    0.000 auth.py:1(<module>)
        1    0.000    0.000    0.000    0.000 iter_metrics.py:48(SharedMetrics)
        1    0.000    0.000    0.000    0.000 {function SeedSequence.generate_state at 0x10c625ab0}
        8    0.000    0.000    0.000    0.000 ray_option_utils.py:39(_counting_option)
        1    0.000    0.000    0.000    0.000 _types.py:155(remove)
        7    0.000    0.000    0.000    0.000 __init__.py:837(search)
        2    0.000    0.000    0.000    0.000 _pyio.py:851(close)
        1    0.000    0.000    0.000    0.000 tracing_helper.py:290(_tracing_task_invocation)
        1    0.000    0.000    0.000    0.000 __init__.py:337(_sanity_check)
        1    0.000    0.000    0.000    0.000 ray_constants.py:1(<module>)
       17    0.000    0.000    0.000    0.000 utils.py:1499(parse_runtime_env)
        1    0.000    0.000    0.000    0.000 exceptions.py:53(StrictUnionMatchError)
        1    0.000    0.000    0.000    0.000 records.py:1(<module>)
        6    0.000    0.000    0.000    0.000 functools.py:844(register)
        1    0.000    0.000    0.000    0.000 jupyter.py:18(JupyterRenderable)
       10    0.000    0.000    0.000    0.000 _text.py:79(__hash__)
        1    0.000    0.000    0.000    0.000 getlimits.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {method 'any' of 'numpy.generic' objects}
       38    0.000    0.000    0.000    0.000 abc.py:146(update_abstractmethods)
       38    0.000    0.000    0.000    0.000 dataclasses.py:592(<listcomp>)
       21    0.000    0.000    0.000    0.000 cells.py:45(get_character_cell_size)
       80    0.000    0.000    0.000    0.000 ipaddress.py:1199(_parse_octet)
        1    0.000    0.000    0.000    0.000 readers.py:49(MultiplexedPath)
        1    0.000    0.000    0.000    0.000 workflow_access.py:87(WorkflowManagementActor)
     19/9    0.000    0.000    0.000    0.000 typing.py:320(_eval_type)
      395    0.000    0.000    0.000    0.000 {method 'items' of 'mappingproxy' objects}
        1    0.000    0.000    0.000    0.000 pipeline_executor.py:158(PipelineSplitExecutorCoordinator)
       11    0.000    0.000    0.000    0.000 sre_compile.py:440(_bytes_to_codes)
        1    0.000    0.000    0.000    0.000 __init__.py:298(Process)
        1    0.000    0.000    0.000    0.000 legendre.py:1(<module>)
        2    0.000    0.000    0.000    0.000 object.py:3019(obj)
       20    0.000    0.000    0.000    0.000 decorators.py:11(__init__)
        1    0.000    0.000    0.000    0.000 getlimits.py:382(__new__)
       18    0.000    0.000    0.000    0.000 inspect.py:1990(_signature_is_builtin)
        1    0.000    0.000    0.000    0.000 _checked_types.py:274(CheckedPVector)
        1    0.000    0.000    0.000    0.000 _channel.py:72(_BaseMultiCallable)
        6    0.000    0.000    0.000    0.000 text.py:813(truncate)
        1    0.000    0.000    0.000    0.000 segment.py:683(SegmentLines)
        1    0.000    0.000    0.000    0.000 _interceptor.py:638(InterceptedUnaryStreamCall)
        1    0.000    0.000    0.000    0.000 _interceptor.py:48(ServerInterceptor)
        7    0.000    0.000    0.000    0.000 text.py:427(copy)
        1    0.000    0.000    0.000    0.000 table_block.py:26(TableBlockBuilder)
       98    0.000    0.000    0.000    0.000 constant.py:342(<lambda>)
        1    0.000    0.000    0.000    0.000 structures.py:1(<module>)
        1    0.000    0.000    0.000    0.000 types.py:325(DateTime)
        1    0.000    0.000    0.000    0.000 types.py:746(Path)
       16    0.000    0.000    0.000    0.000 _type_aliases.py:58(bitname)
        1    0.000    0.000    0.000    0.000 {built-in method posix.scandir}
       13    0.000    0.000    0.000    0.000 _dtype_ctypes.py:100(dtype_from_ctypes_type)
        2    0.000    0.000    0.000    0.000 _funcs.py:344(evolve)
       91    0.000    0.000    0.000    0.000 __init__.py:1307(disable)
        1    0.000    0.000    0.000    0.000 palette.py:11(Palette)
        1    0.000    0.000    0.000    0.000 _pbag.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _monitor.py:1(<module>)
        1    0.000    0.000    0.000    0.000 idnadata.py:1(<module>)
       88    0.000    0.000    0.000    0.000 six.py:142(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:23(get_console)
      267    0.000    0.000    0.000    0.000 dataclasses.py:374(<genexpr>)
       38    0.000    0.000    0.000    0.000 dataclasses.py:1015(<listcomp>)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:421(spec_from_loader)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(polyval)
        1    0.000    0.000    0.000    0.000 fractions.py:38(Fraction)
        3    0.000    0.000    0.000    0.000 _wrap.py:20(divide_line)
        1    0.000    0.000    0.000    0.000 highlighter.py:17(Highlighter)
        1    0.000    0.000    0.000    0.000 resource_pb2.py:1(<module>)
        8    0.000    0.000    0.000    0.000 ray_option_utils.py:235(validate_actor_options)
        1    0.000    0.000    0.000    0.000 MpegImagePlugin.py:1(<module>)
        1    0.000    0.000    0.000    0.000 MspImagePlugin.py:1(<module>)
        9    0.000    0.000    0.000    0.000 typing.py:679(_evaluate)
      276    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        4    0.000    0.000    0.000    0.000 table.py:186(__init__)
       35    0.000    0.000    0.000    0.000 sre_compile.py:456(_generate_overlap_table)
        1    0.000    0.000    0.000    0.000 typing.py:1490(__instancecheck__)
        1    0.000    0.000    0.000    0.000 external_storage.py:434(ExternalStorageSmartOpenImpl)
       96    0.000    0.000    0.000    0.000 __init__.py:1261(append)
        1    0.000    0.000    0.000    0.000 _pyio.py:2027(__init__)
        1    0.000    0.000    0.000    0.000 McIdasImagePlugin.py:1(<module>)
        3    0.000    0.000    0.000    0.000 gettext.py:741(gettext)
        1    0.000    0.000    0.000    0.000 TgaImagePlugin.py:1(<module>)
        1    0.000    0.000    0.000    0.000 abc.py:312(ResourceReader)
        1    0.000    0.000    0.000    0.000 _string_helpers.py:1(<module>)
      124    0.000    0.000    0.000    0.000 skin.py:996(<lambda>)
        1    0.000    0.000    0.000    0.000 pattern.py:1(<module>)
       30    0.000    0.000    0.000    0.000 getlimits.py:25(_fr1)
       20    0.000    0.000    0.000    0.000 _make.py:436(_get_annotations)
        1    0.000    0.000    0.000    0.000 PsdImagePlugin.py:1(<module>)
        1    0.000    0.000    0.000    0.000 futures.py:1(<module>)
      399    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
        1    0.000    0.000    0.000    0.000 table_block.py:108(TableBlockAccessor)
        1    0.000    0.000    0.000    0.000 workflow_storage.py:60(TaskInspectResult)
        3    0.000    0.000    0.000    0.000 gettext.py:664(dgettext)
        1    0.000    0.000    0.000    0.000 PpmImagePlugin.py:1(<module>)
        1    0.000    0.000    0.000    0.000 console.py:631(__init__)
        1    0.000    0.000    0.000    0.000 actor_pool.py:8(ActorPool)
        1    0.000    0.000    0.000    0.000 TiffImagePlugin.py:427(ImageFileDirectory_v2)
        1    0.000    0.000    0.000    0.000 PcdImagePlugin.py:1(<module>)
       52    0.000    0.000    0.000    0.000 schema.py:193(<listcomp>)
        1    0.000    0.000    0.000    0.000 live_render.py:1(<module>)
        1    0.000    0.000    0.000    0.000 console.py:259(RichCast)
        1    0.000    0.000    0.000    0.000 containers.py:248(RepeatedCompositeFieldContainer)
        1    0.000    0.000    0.000    0.000 _interceptor.py:106(UnaryUnaryClientInterceptor)
        4    0.000    0.000    0.000    0.000 console.py:961(is_dumb_terminal)
        1    0.000    0.000    0.000    0.000 runtime_context.py:12(RuntimeContext)
        1    0.000    0.000    0.000    0.000 PixarImagePlugin.py:1(<module>)
       54    0.000    0.000    0.000    0.000 inspect.py:1872(_signature_get_user_defined_method)
        1    0.000    0.000    0.000    0.000 traceback.py:144(Frame)
        1    0.000    0.000    0.000    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
       28    0.000    0.000    0.000    0.000 {method 'expandtabs' of 'str' objects}
        1    0.000    0.000    0.000    0.000 parquet_datasource.py:170(_ParquetDatasourceReader)
        1    0.000    0.000    0.000    0.000 _interceptor.py:139(UnaryStreamClientInterceptor)
        1    0.000    0.000    0.000    0.000 _types.py:123(redefine)
       85    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
        1    0.000    0.000    0.000    0.000 progress.py:604(TextColumn)
        8    0.000    0.000    0.000    0.000 {built-in method posix.fstat}
        1    0.000    0.000    0.000    0.000 traceback.py:162(Stack)
        4    0.000    0.000    0.000    0.000 _checked_types.py:95(maybe_parse_many_user_types)
       23    0.000    0.000    0.000    0.000 console.py:1450(get_style)
        9    0.000    0.000    0.000    0.000 _format.py:202(wrap)
       20    0.000    0.000    0.000    0.000 _make.py:1010(add_match_args)
      260    0.000    0.000    0.000    0.000 dataclasses.py:660(_is_kw_only)
        1    0.000    0.000    0.000    0.000 MpoImagePlugin.py:1(<module>)
        1    0.000    0.000    0.000    0.000 cloudpickle_fast.py:1(<module>)
        2    0.000    0.000    0.000    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        1    0.000    0.000    0.000    0.000 polynomial.py:696(polyval)
        3    0.000    0.000    0.000    0.000 gettext.py:583(translation)
        1    0.000    0.000    0.000    0.000 aggregate.py:112(Sum)
        1    0.000    0.000    0.000    0.000 logging_pb2.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _types.py:142(redefine_many)
        1    0.000    0.000    0.000    0.000 event_summarizer.py:6(EventSummarizer)
        1    0.000    0.000    0.000    0.000 exceptions.py:72(UnexpectedDataError)
        3    0.000    0.000    0.000    0.000 threading.py:827(__init__)
        1    0.000    0.000    0.000    0.000 _ufunc_config.py:1(<module>)
       14    0.000    0.000    0.000    0.000 Image.py:3315(register_extensions)
        1    0.000    0.000    0.000    0.000 __init__.py:794(zip_children)
        1    0.000    0.000    0.000    0.000 progress_bar.py:18(ProgressBar)
        1    0.000    0.000    0.000    0.000 usage_lib.py:164(UsageStatsEnabledness)
        1    0.000    0.000    0.000    0.000 getlimits.py:415(_init)
        1    0.000    0.000    0.000    0.000 _checked_types.py:458(CheckedPMap)
        1    0.000    0.000    0.000    0.000 _make.py:2784(<listcomp>)
       23    0.000    0.000    0.000    0.000 platform.py:901(system)
        1    0.000    0.000    0.000    0.000 syntax.py:136(PygmentsSyntaxTheme)
        1    0.000    0.000    0.000    0.000 pretty.py:279(Pretty)
        1    0.000    0.000    0.000    0.000 gcs_utils.py:390(GcsAioClient)
       38    0.000    0.000    0.000    0.000 dataclasses.py:1041(<listcomp>)
        9    0.000    0.000    0.000    0.000 posixpath.py:140(basename)
        1    0.000    0.000    0.000    0.000 _interceptor.py:217(StreamStreamClientInterceptor)
      4/3    0.000    0.000    0.000    0.000 {method 'view' of 'numpy.ndarray' objects}
        4    0.000    0.000    0.000    0.000 _checked_types.py:65(maybe_parse_user_type)
        9    0.000    0.000    0.000    0.000 ray_option_utils.py:215(validate_task_options)
        1    0.000    0.000    0.000    0.000 mbcssm.py:1(<module>)
        1    0.000    0.000    0.000    0.000 SpiderImagePlugin.py:1(<module>)
        1    0.000    0.000    0.000    0.000 worker.py:419(__init__)
        4    0.000    0.000    0.000    0.000 _collections_abc.py:978(clear)
        1    0.000    0.000    0.000    0.000 client_mode_hook.py:1(<module>)
      265    0.000    0.000    0.000    0.000 {built-in method builtins.id}
        6    0.000    0.000    0.000    0.000 client_mode_hook.py:133(client_mode_wrap)
        2    0.000    0.000    0.000    0.000 __init__.py:1066(__init__)
        1    0.000    0.000    0.000    0.000 _base_channel.py:106(StreamUnaryMultiCallable)
      148    0.000    0.000    0.000    0.000 typing.py:1278(__eq__)
       19    0.000    0.000    0.000    0.000 pathlib.py:865(parent)
        1    0.000    0.000    0.000    0.000 progress.py:495(ProgressColumn)
        1    0.000    0.000    0.000    0.000 task_executor.py:120(_BakedWorkflowInputs)
      168    0.000    0.000    0.000    0.000 {method 'values' of 'mappingproxy' objects}
       15    0.000    0.000    0.000    0.000 _make.py:1702(append_hash_computation_lines)
        1    0.000    0.000    0.000    0.000 zipfile.py:2319(__init__)
       12    0.000    0.000    0.000    0.000 constants.py:14(env_integer)
        1    0.000    0.000    0.000    0.000 row.py:1(<module>)
        1    0.000    0.000    0.000    0.000 push_based_shuffle.py:330(PushBasedShufflePlan)
      134    0.000    0.000    0.000    0.000 _make.py:1158(decide_callable_or_boolean)
       28    0.000    0.000    0.000    0.000 ipaddress.py:1586(_make_netmask)
