Rendering est
  INFO     Rendering texts in 10621 tiles...                                                                                                                                                                
         23726113 function calls (23592317 primitive calls) in 70.825 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1079    0.011    0.000    0.238    0.000 <frozen importlib._bootstrap>:921(_find_spec)
    14122    0.053    0.000    0.234    0.000 PngImagePlugin.py:915(load_prepare)
        1    0.000    0.000    0.233    0.233 pla2.py:94(from_file)
        1    0.000    0.000    0.233    0.233 pla2.py:110(from_msgpack)
        1    0.002    0.002    0.232    0.232 {method 'decode' of 'msgspec.msgpack.Decoder' objects}
       10    0.000    0.000    0.231    0.023 exceptions.py:1(<module>)
 4047/429    0.004    0.000    0.230    0.001 pla2.py:74(_dec_hook)
     1075    0.001    0.000    0.216    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
1076/1075    0.007    0.000    0.215    0.000 <frozen importlib._bootstrap_external>:1399(_get_spec)
    14122    0.024    0.000    0.213    0.000 Image.py:597(_ensure_mutable)
11568/11308    0.032    0.000    0.211    0.000 schema.py:149(validate)
        1    0.000    0.000    0.209    0.209 sdk.py:1(<module>)
        1    0.000    0.000    0.206    0.206 commands.py:1(<module>)
      938    0.196    0.000    0.196    0.000 {built-in method io.open_code}
        2    0.000    0.000    0.192    0.096 _methods.py:1(<module>)
        1    0.000    0.000    0.190    0.190 _typeutils.py:1(<module>)
    32400    0.031    0.000    0.186    0.000 schema.py:37(__init__)
    14033    0.184    0.000    0.184    0.000 _geometry.py:274(get_y)
    14122    0.055    0.000    0.176    0.000 ImageFile.py:280(load_prepare)
    14122    0.090    0.000    0.173    0.000 PngImagePlugin.py:423(chunk_IHDR)
     1734    0.020    0.000    0.172    0.000 <frozen importlib._bootstrap_external>:1536(find_spec)
   164161    0.147    0.000    0.172    0.000 pathlib.py:239(splitroot)
   318604    0.171    0.000    0.171    0.000 {built-in method sys.intern}
   101029    0.116    0.000    0.166    0.000 pathlib.py:600(_from_parsed_parts)
   125032    0.118    0.000    0.165    0.000 schema.py:258(_priority)
   204480    0.106    0.000    0.163    0.000 posixpath.py:41(_get_sep)
2361/2335    0.040    0.000    0.158    0.000 {built-in method builtins.__build_class__}
1016/1009    0.003    0.000    0.156    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
    44771    0.108    0.000    0.156    0.000 pathlib.py:608(_format_parsed_parts)
       88    0.155    0.002    0.155    0.002 {built-in method posix.remove}
    32400    0.051    0.000    0.155    0.000 schema.py:42(code)
        1    0.000    0.000    0.150    0.150 worker.py:1(<module>)
    14122    0.085    0.000    0.149    0.000 Image.py:383(_getdecoder)
    14122    0.055    0.000    0.148    0.000 PngImagePlugin.py:204(crc)
     3954    0.003    0.000    0.145    0.000 coord.py:25(__init__)
     3954    0.007    0.000    0.142    0.000 point.py:51(__new__)
        1    0.000    0.000    0.141    0.141 usage_lib.py:1(<module>)
      665    0.003    0.000    0.141    0.000 re.py:288(_compile)
      429    0.002    0.000    0.139    0.000 pla2.py:80(<listcomp>)
       49    0.001    0.000    0.138    0.003 Image.py:591(_copy)
      204    0.002    0.000    0.136    0.001 sre_compile.py:783(compile)
     3618    0.003    0.000    0.135    0.000 coord.py:49(dec_hook)
        1    0.000    0.000    0.135    0.135 merge_tiles.py:1(<module>)
    84732    0.071    0.000    0.131    0.000 _binary.py:84(i32be)
   712814    0.128    0.000    0.128    0.000 {method 'append' of 'list' objects}
    42742    0.128    0.000    0.128    0.000 {method 'match' of 're.Pattern' objects}
      252    0.000    0.000    0.126    0.001 re.py:249(compile)
        1    0.000    0.000    0.124    0.124 remote_function.py:1(<module>)
    29665    0.058    0.000    0.122    0.000 posixpath.py:60(isabs)
        1    0.000    0.000    0.121    0.121 tracing_helper.py:1(<module>)
    57279    0.094    0.000    0.121    0.000 Image.py:802(load)
    42366    0.119    0.000    0.119    0.000 {method 'tell' of '_io.BufferedReader' objects}
    67/65    0.000    0.000    0.118    0.002 <frozen importlib._bootstrap_external>:1174(create_module)
    67/65    0.112    0.002    0.118    0.002 {built-in method _imp.create_dynamic}
        2    0.000    0.000    0.117    0.058 runtime_context.py:1(<module>)
   250729    0.117    0.000    0.117    0.000 {method 'startswith' of 'str' objects}
    14122    0.116    0.000    0.116    0.000 {built-in method PIL._imaging.new}
     3954    0.019    0.000    0.115    0.000 creation.py:34(points)
        1    0.000    0.000    0.114    0.114 runtime_env.py:1(<module>)
193304/193299    0.104    0.000    0.105    0.000 {built-in method builtins.hasattr}
   140381    0.104    0.000    0.104    0.000 {built-in method __new__ of type object at 0x10c0fc330}
      938    0.003    0.000    0.103    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
    64800    0.039    0.000    0.100    0.000 schema.py:49(uniq)
      938    0.098    0.000    0.098    0.000 {built-in method marshal.loads}
    98854    0.098    0.000    0.098    0.000 {built-in method _struct.unpack_from}
     4383    0.005    0.000    0.096    0.000 creation.py:24(_xyz_to_coords)
    14122    0.032    0.000    0.093    0.000 BmpImagePlugin.py:55(_dib_accept)
